P6	P5	P4	P3	P2	P1	N6	N5	N4	N3	N2	N1	C6	C5	C4	C3	C2	C1	X4	X3	X2	X1 W
3	4	5	6	6	7	8	10	11	12	13	14	14	15	16	17	17	19	13	13	14	15 4   P6
4	5	6	7	7	8	9	10	10	12	13	14	14	15	16	16	16	17	12	13	13	15 4   P5
5	6	6	7	7	8	9	10	10	11	12	13	13	14	15	16	16	17	12	13	13	15 5   P4
6	7	7	7	7	8	9	10	10	11	11	12	12	13	14	16	16	17	12	12	13	14 6   P3
6	7	7	7	7	8	8	9	10	11	11	11	12	13	14	15	15	16	12	12	13	14 6   P2
7	8	8	8	8	8	8	9	9	11	11	11	12	13	14	15	15	16	12	12	13	14 7   P1
8	9	9	9	8	8	8	8	8	10	11	11	11	12	13	14	14	15	11	12	13	13 7   N6
10	10	10	10	9	9	8	9	9	10	10	11	11	12	13	13	14	15	10	11	12	13 8   N5
11	10	10	10	10	9	8	9	9	10	10	11	11	12	12	13	14	15	9	10	12	13 9   N4
12	12	11	11	11	11	10	10	10	10	10	11	11	12	12	12	13	14	10	11	12	12 9   N3
13	13	12	11	11	11	11	10	10	10	10	11	11	12	12	12	13	14	10	11	12	12 11  N2
14	14	13	12	11	11	11	11	11	11	11	10	10	11	11	12	13	14	11	11	12	12 12  N1
14	14	13	12	12	12	11	11	11	11	11	10	10	11	11	12	13	14	11	11	11	11 13  C6
15	15	14	13	13	13	12	12	12	12	12	11	11	11	11	12	13	13	12	12	12	11 14  C5
16	16	15	14	14	14	13	13	12	12	12	11	11	11	11	11	12	13	12	12	12	11 15  C4
17	16	16	16	15	15	14	13	13	12	12	12	12	12	11	11	11	11	12	12	12	11 15  C3
17	16	16	16	15	15	14	14	14	13	13	13	13	13	12	11	11	10	14	12	12	12 16  C2
19	17	17	17	16	16	15	15	15	14	14	14	14	13	13	11	10	11	14	12	12	12 18  C1
13	12	12	12	12	12	11	10	9	10	10	11	11	12	12	12	14	14	11	11	11	11 13  X1
13	13	13	12	12	12	12	11	10	11	11	11	11	12	12	12	12	12	11	11	10	10 14  X2
14	13	13	13	13	13	13	12	12	12	12	12	11	12	12	12	12	12	11	10	10	10 14  X3
15	15	15	14	14	14	13	13	13	12	12	12	11	11	11	11	12	12	11	10	10	9 16   X4
4	4	5	6	6	7	7	8	9	9	11	12	13	14	15	15	16	18	13	14	14	16 0   W
